2026-06-10 15:00:28,294 | INFO     | run_experiment:254 | Starting experiment: llm-explanation-agreement-study v1.0
2026-06-10 15:00:28,294 | INFO     | run_experiment:255 | Output directory: outputs\20260610_150028
2026-06-10 15:00:28,299 | INFO     | run_experiment:276 | Processing dataset: sst2
2026-06-10 15:00:28,760 | DEBUG    | config:54 | PyTorch version 2.9.1 available.
2026-06-10 15:00:29,122 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): huggingface.co:443
2026-06-10 15:00:29,895 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/main/README.md HTTP/1.1" 307 0
2026-06-10 15:00:30,000 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/datasets/stanfordnlp/sst2/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/README.md HTTP/1.1" 200 0
2026-06-10 15:00:30,006 | DEBUG    | _api:331 | Attempting to acquire lock 2401379718816 on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\ba7f3d9ea20b50b09595e79acca156a6edafa2ad.lock
2026-06-10 15:00:30,007 | DEBUG    | _api:334 | Lock 2401379718816 acquired on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\ba7f3d9ea20b50b09595e79acca156a6edafa2ad.lock
2026-06-10 15:00:30,108 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/resolve-cache/datasets/stanfordnlp/sst2/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/README.md HTTP/1.1" 200 None
2026-06-10 15:00:30,117 | DEBUG    | _api:364 | Attempting to release lock 2401379718816 on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\ba7f3d9ea20b50b09595e79acca156a6edafa2ad.lock
2026-06-10 15:00:30,117 | DEBUG    | _api:367 | Lock 2401379718816 released on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\ba7f3d9ea20b50b09595e79acca156a6edafa2ad.lock
2026-06-10 15:00:30,432 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/sst2.py HTTP/1.1" 404 0
2026-06-10 15:00:30,437 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): s3.amazonaws.com:443
2026-06-10 15:00:31,459 | DEBUG    | connectionpool:544 | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/datasets/stanfordnlp/sst2/stanfordnlp/sst2.py HTTP/1.1" 404 0
2026-06-10 15:00:31,805 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/revision/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb HTTP/1.1" 200 None
2026-06-10 15:00:32,137 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/.huggingface.yaml HTTP/1.1" 404 0
2026-06-10 15:00:32,139 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): datasets-server.huggingface.co:443
2026-06-10 15:00:33,462 | DEBUG    | connectionpool:544 | https://datasets-server.huggingface.co:443 "GET /info?dataset=stanfordnlp/sst2 HTTP/1.1" 200 None
2026-06-10 15:00:33,796 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data?recursive=True&expand=False HTTP/1.1" 200 941
2026-06-10 15:00:34,117 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb?recursive=False&expand=False HTTP/1.1" 200 291
2026-06-10 15:00:34,488 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/dataset_infos.json HTTP/1.1" 404 0
2026-06-10 15:00:34,494 | DEBUG    | _api:331 | Attempting to acquire lock 2401379718816 on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:00:34,495 | DEBUG    | _api:334 | Lock 2401379718816 acquired on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:00:34,495 | DEBUG    | _api:364 | Attempting to release lock 2401379718816 on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:00:34,496 | DEBUG    | _api:367 | Lock 2401379718816 released on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:00:34,498 | DEBUG    | _api:331 | Attempting to acquire lock 2401409305168 on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:00:34,499 | DEBUG    | _api:334 | Lock 2401409305168 acquired on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:00:34,822 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data/train-00000-of-00001.parquet HTTP/1.1" 302 0
2026-06-10 15:00:34,824 | DEBUG    | _api:331 | Attempting to acquire lock 2401409304528 on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\c7921283b75a42e685f50edecb96798607ea0fcbfd0739ee8975f22c12d55f09.lock
2026-06-10 15:00:34,824 | DEBUG    | _api:334 | Lock 2401409304528 acquired on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\c7921283b75a42e685f50edecb96798607ea0fcbfd0739ee8975f22c12d55f09.lock
2026-06-10 15:00:34,825 | WARNING  | file_download:1729 | Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
2026-06-10 15:00:35,151 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data/train-00000-of-00001.parquet HTTP/1.1" 302 999
2026-06-10 15:00:35,152 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): us.aws.cdn.hf.co:443
2026-06-10 15:00:36,370 | DEBUG    | connectionpool:544 | https://us.aws.cdn.hf.co:443 "GET /xet-bridge-us/62a7434b8780c6d7291f6774/c6726c42d2346f59a38bc0576a398922c0402d3a46c7f9cb577f73a21adf6eeb?X-Xet-Cas-Uid=public&response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train-00000-of-00001.parquet%3B+filename%3D%22train-00000-of-00001.parquet%22%3B&Expires=1781087438&Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly91cy5hd3MuY2RuLmhmLmNvL3hldC1icmlkZ2UtdXMvNjJhNzQzNGI4NzgwYzZkNzI5MWY2Nzc0L2M2NzI2YzQyZDIzNDZmNTlhMzhiYzA1NzZhMzk4OTIyYzA0MDJkM2E0NmM3ZjljYjU3N2Y3M2EyMWFkZjZlZWJcXD9YLVhldC1DYXMtVWlkPXB1YmxpYyZyZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPWlubGluZSUzQitmaWxlbmFtZSUyQSUzRFVURi04JTI3JTI3dHJhaW4tMDAwMDAtb2YtMDAwMDEucGFycXVldCUzQitmaWxlbmFtZSUzRCUyMnRyYWluLTAwMDAwLW9mLTAwMDAxLnBhcnF1ZXQlMjIlM0IiLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkVwb2NoVGltZSI6MTc4MTA4NzQzOH19fV19&Signature=MEQCIFQwEg~fnswWSKkwngpbP1ot-ZSNjL0VdUsud9i8A5QoAiAFHA9~G7nF9HAX-kWsjX137QYMt64UPliVjRd15BI-9Q__&Key-Pair-Id=01KAYHXK2CBJSW0YZTMNXK9W1M HTTP/1.1" 200 3110458
2026-06-10 15:00:41,407 | DEBUG    | _api:364 | Attempting to release lock 2401409304528 on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\c7921283b75a42e685f50edecb96798607ea0fcbfd0739ee8975f22c12d55f09.lock
2026-06-10 15:00:41,407 | DEBUG    | _api:367 | Lock 2401409304528 released on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\c7921283b75a42e685f50edecb96798607ea0fcbfd0739ee8975f22c12d55f09.lock
2026-06-10 15:00:41,765 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data/validation-00000-of-00001.parquet HTTP/1.1" 302 0
2026-06-10 15:00:41,766 | DEBUG    | _api:331 | Attempting to acquire lock 2401409305488 on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\fb00fe008f6828f86ba2beda8415a4cf5da0c884f21c5f238c87131b5aa19529.lock
2026-06-10 15:00:41,767 | DEBUG    | _api:334 | Lock 2401409305488 acquired on C:\Users\Heroa\.cache\huggingface\hub\.locks\datasets--stanfordnlp--sst2\fb00fe008f6828f86ba2beda8415a4cf5da0c884f21c5f238c87131b5aa19529.lock
2026-06-10 15:00:41,769 | WARNING  | file_download:1729 | Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
2026-06-10 15:00:42,101 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data/validation-00000-of-00001.parquet HTTP/1.1" 302 1048
2026-06-10 15:00:42,102 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): cas-bridge.xethub.hf.co:443
