2026-06-11 09:29:37,958 | INFO     | run_experiment:254 | Starting experiment: llm-explanation-agreement-study-pilot v1.0
2026-06-11 09:29:37,959 | INFO     | run_experiment:255 | Output directory: outputs\20260611_092937
2026-06-11 09:29:37,963 | INFO     | run_experiment:276 | Processing dataset: sst2
2026-06-11 09:29:38,633 | DEBUG    | config:54 | PyTorch version 2.9.1 available.
2026-06-11 09:29:39,179 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): huggingface.co:443
2026-06-11 09:29:39,694 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/main/README.md HTTP/1.1" 307 0
2026-06-11 09:29:39,725 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/datasets/stanfordnlp/sst2/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/README.md HTTP/1.1" 200 0
2026-06-11 09:29:39,972 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/sst2.py HTTP/1.1" 404 0
2026-06-11 09:29:39,979 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): s3.amazonaws.com:443
2026-06-11 09:29:40,958 | DEBUG    | connectionpool:544 | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/datasets/stanfordnlp/sst2/stanfordnlp/sst2.py HTTP/1.1" 404 0
2026-06-11 09:29:41,207 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/revision/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb HTTP/1.1" 200 None
2026-06-11 09:29:41,458 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/.huggingface.yaml HTTP/1.1" 404 0
2026-06-11 09:29:41,460 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): datasets-server.huggingface.co:443
2026-06-11 09:29:41,990 | DEBUG    | connectionpool:544 | https://datasets-server.huggingface.co:443 "GET /info?dataset=stanfordnlp/sst2 HTTP/1.1" 200 None
2026-06-11 09:29:42,234 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data?recursive=True&expand=False HTTP/1.1" 200 941
2026-06-11 09:29:42,474 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb?recursive=False&expand=False HTTP/1.1" 200 291
2026-06-11 09:29:42,723 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/dataset_infos.json HTTP/1.1" 404 0
2026-06-11 09:29:42,731 | DEBUG    | _api:331 | Attempting to acquire lock 1196583490560 on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-11 09:29:42,731 | DEBUG    | _api:334 | Lock 1196583490560 acquired on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
